experimento,algoritmo,secuencia1,secuencia2,longitud1,longitud2,tiempo,celdas,score
NW_random,NW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,351161,256528272,1856
NW_random,NW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_2.fasta,16001,16001,308460,257041056,1856
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,754373,256048002,1835
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,442190,256272072,1835
SW_random,SW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,419981,256528272,1835
SW_random,SW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,576982,257041056,1835
SW_random,SW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,478903,256272072,1835
SW_random,SW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,398907,256528272,1835
SW_random,SW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,339306,257041056,1835
NW_random,NW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,703321,256048002,1796
NW_random,NW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,397128,256272072,1796
NW_random,NW_C_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,396585,256528272,1796
NW_random,NW_C_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,507700,257041056,1796
NW_random,NW_ASM_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,402944,256272072,1796
NW_random,NW_ASM_AVX,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,352276,256528272,1796
NW_random,NW_ASM_AVX512,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_5.fasta,16001,16001,307750,257041056,1796
SW_random,SW_C_LIN,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_4.fasta,16001,16001,754875,256048002,1792
SW_random,SW_C_SSE,../sequences/random/seq_16000_9.fasta,../sequences/random/seq_16000_4.fasta,16001,16001,443304,256272072,1792
